主題(medium),91,光電業,其他,其他電子業,化學工業,半導體業,塑膠工業,居家生活,建材營造,數位雲端,文化創意業,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,貿易百貨,資訊服務業,農業科技業,通信網路業,造紙工業,運動休閒,金融保險,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業,總計
傳產內需個股討論,7,23,69,30,35,44,40,50,139,17,10,25,3,40,4,4,66,50,31,4,87,20,11,3,17,18,44,13,56,4,13,60,72,51,29,1189
月營收原始彙整,0,50,50,45,17,116,4,23,41,15,14,3,5,21,0,1,54,8,9,11,23,3,31,0,58,6,23,11,26,7,48,106,50,67,7,953
電子科技個股分析,1,66,13,90,18,198,3,2,2,14,0,0,0,17,5,2,17,0,17,4,0,0,32,0,72,0,4,0,10,12,22,171,40,106,3,941
電子傳產操作討論,16,54,47,38,19,108,12,1,23,9,9,5,1,12,6,3,63,27,1,9,15,6,9,2,50,1,15,9,16,11,23,119,22,68,7,836
電子光電短線進出,1,90,10,55,10,132,6,0,19,4,16,1,0,14,3,4,14,11,10,4,4,2,23,0,49,3,8,6,10,11,11,120,34,64,3,752
合併財務報告公告,0,34,32,34,14,86,7,25,28,14,12,0,5,15,5,3,38,20,12,17,19,12,12,1,29,8,12,18,19,9,12,63,32,40,13,700
月收公告詳細分析,0,40,27,37,11,113,7,1,24,12,6,2,1,21,9,2,34,11,24,14,14,2,12,0,44,1,7,6,3,6,16,71,34,47,5,664
航運電子短線閒聊,2,40,11,14,16,49,11,4,7,8,17,7,0,5,0,1,29,16,11,91,8,15,11,3,24,1,9,7,18,2,5,47,44,36,2,571
月收觀測心得公告,0,32,11,45,14,107,3,1,15,8,2,2,0,13,0,3,41,11,6,14,3,2,6,0,30,0,0,0,2,7,12,86,17,53,3,549
季度EPS配息揭露,0,19,17,37,11,67,8,18,17,5,3,4,1,22,1,1,26,14,5,13,18,7,7,2,13,4,9,14,10,6,10,58,35,43,4,529
短線技術停損操作,3,60,9,9,19,88,12,1,8,5,13,0,0,8,4,13,13,5,0,10,2,3,6,0,19,3,6,1,11,14,9,51,8,34,3,450
股利配發決議公告,0,14,26,7,13,26,7,12,47,10,4,6,3,5,7,2,20,12,3,13,12,9,6,1,9,3,6,46,9,16,14,33,20,17,7,445
年度EPS股利揭露,0,18,37,22,16,33,6,9,30,9,8,2,5,7,3,2,15,8,7,12,23,4,9,2,17,1,8,18,7,2,8,25,13,26,11,423
注意股重大訊息,0,37,19,22,11,56,3,0,11,2,4,0,0,12,0,2,8,3,6,14,2,1,7,0,23,4,4,1,10,2,9,63,34,39,4,413
重大投資取得處分,0,54,13,7,5,22,17,1,24,1,5,5,5,4,0,0,36,22,6,22,11,3,10,0,10,0,2,3,4,2,7,28,13,15,4,361
月季自結稅前損益,0,19,13,22,6,73,1,1,4,8,17,0,0,0,0,0,14,3,7,9,12,2,13,0,25,0,3,2,3,1,13,40,15,25,1,352
生技新藥投資討論,6,3,18,8,10,2,5,0,0,6,0,8,1,1,0,0,242,1,0,0,2,0,1,8,3,0,3,0,2,0,0,1,2,2,3,338
台股宏觀市場觀察,0,5,15,3,4,29,4,0,5,2,1,7,1,3,0,0,20,21,5,5,5,3,1,2,10,2,5,3,128,3,2,15,15,6,5,335
公司重大事件公告,1,14,9,8,7,28,8,4,14,7,4,0,7,8,3,1,31,10,15,4,17,4,7,0,7,1,8,14,13,0,4,20,23,5,3,309
金控月自結盈餘,0,3,15,5,0,14,0,0,0,2,0,0,0,0,0,0,5,1,0,0,2,0,6,0,5,2,2,195,9,0,1,9,3,13,5,297
論壇板規違規管理,0,14,17,10,3,8,3,3,12,8,2,3,4,5,3,0,46,7,12,0,9,2,7,1,14,0,4,7,6,1,3,39,11,7,10,281
增資認股與股東會,0,11,16,6,1,17,1,7,8,2,3,1,0,2,2,0,23,1,4,7,12,3,4,0,8,1,4,11,2,2,0,13,6,8,3,189
新股申購作業資訊,0,6,11,9,4,15,0,6,9,4,4,0,0,4,0,0,17,3,7,6,7,0,2,0,3,0,6,1,3,1,0,11,3,7,1,150
外資買超違約公告,0,0,0,2,0,0,1,1,0,0,0,1,22,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,60,94
航運運費指數追蹤,0,3,0,4,2,1,0,4,3,0,0,0,6,1,0,0,9,0,1,2,2,0,1,0,2,0,0,0,1,0,0,6,3,3,19,73
